from,to,weight
harry,ron,3
harry,hermine,3
harry,ginny,3
harry,draco,1
harry,neville,2
harry,snape,1
harry,dumbledore,2
harry,hagrid,2
ron,harry,3
ron,hermine,3
ron,ginny,3
ron,draco,1
ron,neville,2
ron,snape,1
ron,dumbledore,2
ron,hagrid,2
hermine,harry,3
hermine,ron,3
hermine,ginny,3
hermine,draco,1
hermine,neville,2
hermine,snape,1
hermine,dumbledore,2
hermine,hagrid,2
ginny,harry,3
ginny,hermine,3
ginny,ron,3
ginny,draco,1
ginny,neville,2
ginny,snape,1
ginny,dumbledore,2
ginny,hagrid,2
